style,medal,beer,brewery,state
Contemporary Belgian-Style Spontaneous Fermented Ale,Bronze,Conoscenza,Birrificio Frisanco,SC
Contemporary-Style Gose,Ouro,Tropical Gose,Hank Bier,PR
Contemporary-Style Gose,Prata,Marina,Cervejaria Aurora,ES
Contemporary-Style Gose,Bronze,Gose De Caju,Cervejaria Karsten,SC
Czech-Style Amber Lager,Prata,Czech Jack,Big Jack Cervejaria,SC
Czech-Style Dark Lager,Ouro,Praga Jack,Big Jack Cervejaria,SC
Czech-Style Dark Lager,Prata,Tmavy Slad,Captain Brew,MG
Czech-Style Dark Lager,Bronze,Tendel Czach Dark Lager,Tendel,SC
Czech-Style Pale Lager,Ouro,Tendel Bohemian Pils,Tendel,SC
Czech-Style Pale Lager,Prata,1824 Imigração Bohemian Pilsner,Cervejaria Imigração 1824,RS
Czech-Style Pale Lager,Bronze,Czech Vila - Tcheca,Vila Dionísio,SP
Dessert Stout or Pastry Stout,Ouro,Teorema Do Chocolate Infinito,Captain Brew,MG
Dessert Stout or Pastry Stout,Prata,Magia Negra,Dakza Brewing,MG
Dessert Stout or Pastry Stout,Bronze,A Prova De Que Vivemos Em Uma Simulação,Captain Brew,MG
Dorada Pampeana,Prata,Pelé > Maradona,Big Jack Cervejaria,SC
Dortmunder/European-Style Export,Ouro,Partenza,Birrificio Frisanco,SC
Dortmunder/European-Style Export,Prata,1824 Imigração Export,Cervejaria Imigração 1824,RS
Dortmunder/European-Style Export,Bronze,Urwald Dortmund Export,Cervejaria Urwald,RS
Double Hoppy Red Ale,Prata,Golden Mist - Red Ipa,Golden Mist,PR
Double Hoppy Red Ale,Bronze,A Fúria De Skoll - Red Ipa Berg Bier,Berg Bier,SC
"Dutch-Style Kuit, Kuyt or Koyt",Prata,Kaaskop,Cervejaria Seo Carneiro,SP
English-Style Brown Ale,Prata,Red Ale Código De Bar Eba,Cervejaria Karsten,SC
English-Style Dark Mild Ale,Ouro,Stout Flush,Colt Brew,MG
English-Style Dark Mild Ale,Prata,Old Tavern,Big Jack Cervejaria,SC
English-Style Pale Mild Ale,Bronze,English Series 1,Big Jack Cervejaria,SC
English-Style Summer Ale,Ouro,Roleta Russa Easy Ipa,Cervejaria Imigração 1824,RS
English-Style Summer Ale,Prata,English Summer Ale,Cervejaria Salva,RS
English-Style Summer Ale,Bronze,Summer Ale Der Mueller,Der Mueller,RS
European-Style Dark Lager,Ouro,Schwarzbier,Genaus Bier,SC
European-Style Dark Lager,Bronze,Brotas Beer Schwarzbier,Brotas Beer,SP
Experimental Beer,Ouro,Tendel Black Barleywines,Tendel,SC
Experimental Beer,Prata,Fruit Bier Morango E Pitaya,Cervejaria Maestro,SC
Experimental Beer,Bronze,Sampler - Soul To Squeeze,Sampler Brew House,RJ
Experimental India Pale Ale,Ouro,White Ipa,Cervejaria Artesanal Grecco,ES
Experimental India Pale Ale,Prata,Ice Ipa,Cervejaria Sp 330,SP
