style,medal,beer,brewery,state
Munich-Style Helles,Ouro,Helles Jack,Big Jack Cervejaria,SC
Munich-Style Helles,Prata,Flight One,Yellow Bird Brewery,PR
Munich-Style Helles,Bronze,Spaten,Cervejaria Ambev,RJ
New Zealand-Style India Pale Ale,Ouro,Ruradélica Ales - Neblina Flutuante,Ruradelica Ales,RS
New Zealand-Style Pale Ale,Ouro,Nz Ipa Nelson Sauvin,Big Jack Cervejaria,SC
New Zealand-Style Pale Ale,Prata,Brew Up - Cold Apa Nectaron,Brew Up,RS
New Zealand-Style Pale Ale,Bronze,Kaingang New Zealand Pale Ale,Kaingang Cervejaria,SC
Non-Alcohol Malt Beverage,Ouro,Frade Na Boléia,Cervejaria Karsten,SC
Non-Alcohol Malt Beverage,Prata,Suco Sem Confusão,Cervejaria Karsten,SC
Non-Alcohol Malt Beverage,Bronze,Bud Zero,Cervejaria Ambev,RJ
Oatmeal Stout,Prata,1824 Imigração Oatmeal Stout,Cervejaria Imigração 1824,RS
Oatmeal Stout,Bronze,Vemaguet 67- Porta Malas,Vemaguet 67,SP
Old Ale,Ouro,Cherokee - Old But Gold,Cervejaria Cherokee,SC
Old Ale,Bronze,Rendez-Vous La Belle Vieille,Cervejaria La Belle Bière,RS
Other Belgian-Style Ale,Ouro,Leopoldina - Leopoldina Tripel Bret Safra 2018,Cervejaria Leopoldina,RS
Other Belgian-Style Ale,Prata,Christmas Ale 2025,Cia De Brassagem Brasil,SP
Other Belgian-Style Ale,Bronze,Maniacs Quad,Maniacs Brewing Co.,PR
